[  196967ms] [LOG] entities 37  frames 23575  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  198967ms] [LOG] entities 37  frames 23815  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  200975ms] [LOG] entities 37  frames 24056  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  202983ms] [LOG] entities 37  frames 24297  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  204984ms] [LOG] entities 37  frames 24537  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  206992ms] [LOG] entities 37  frames 24778  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  209000ms] [LOG] entities 37  frames 25019  window 240  mean 0.23ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  211000ms] [LOG] entities 37  frames 25259  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  213008ms] [LOG] entities 37  frames 25500  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  215008ms] [LOG] entities 37  frames 25740  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  217017ms] [LOG] entities 37  frames 25981  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  219025ms] [LOG] entities 37  frames 26222  window 240  mean 0.22ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  221025ms] [LOG] entities 37  frames 26462  window 240  mean 0.21ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  223034ms] [LOG] entities 37  frames 26703  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  225033ms] [LOG] entities 37  frames 26943  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  227042ms] [LOG] entities 37  frames 27184  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  229050ms] [LOG] entities 37  frames 27425  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  231058ms] [LOG] entities 37  frames 27666  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  233067ms] [LOG] entities 37  frames 27907  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  235075ms] [LOG] entities 37  frames 28148  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  237075ms] [LOG] entities 37  frames 28388  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  239083ms] [LOG] entities 37  frames 28629  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  241092ms] [LOG] entities 37  frames 28870  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  243100ms] [LOG] entities 37  frames 29111  window 240  mean 0.23ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  245108ms] [LOG] entities 37  frames 29352  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  247108ms] [LOG] entities 37  frames 29592  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  249117ms] [LOG] entities 37  frames 29833  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  251125ms] [LOG] entities 37  frames 30074  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  253125ms] [LOG] entities 37  frames 30314  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  255125ms] [LOG] entities 37  frames 30554  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  257133ms] [LOG] entities 37  frames 30795  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  259142ms] [LOG] entities 37  frames 31036  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  261142ms] [LOG] entities 37  frames 31276  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  263150ms] [LOG] entities 37  frames 31517  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  265150ms] [LOG] entities 37  frames 31757  window 240  mean 0.23ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  267158ms] [LOG] entities 37  frames 31998  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  269158ms] [LOG] entities 37  frames 32238  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  271167ms] [LOG] entities 37  frames 32479  window 240  mean 0.22ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  273167ms] [LOG] entities 37  frames 32719  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  275167ms] [LOG] entities 37  frames 32959  window 240  mean 0.22ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  277175ms] [LOG] entities 37  frames 33200  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  279175ms] [LOG] entities 37  frames 33440  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  281183ms] [LOG] entities 37  frames 33681  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  283192ms] [LOG] entities 37  frames 33922  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
